year,mileage,tax(£),mpg,engineSize
2017.0,30676.0,145.0,60.1,1.0
2014.0,19898.0,125.0,50.4,1.4
2015.0,54991.0,265.0,41.5,2.2
2019.0,5000.0,135.0,52.3,1.6
2016.0,29019.0,160.0,44.8,1.6
2017.0,25630.0,125.0,57.6,1.7
2018.0,23064.0,145.0,56.5,1.0
2018.0,24512.0,150.0,56.5,1.0
2019.0,14188.0,145.0,46.3,1.2
2017.0,13943.0,145.0,61.7,1.7
2016.0,28386.0,20.0,61.4,1.0
2017.0,16190.0,160.0,44.8,1.6
2016.0,6603.0,20.0,60.1,1.0
2018.0,39188.0,150.0,44.8,1.6
2016.0,17497.0,20.0,61.4,1.0
2020.0,3000.0,145.0,46.3,1.2
2017.0,31927.0,30.0,61.7,1.7
2017.0,36303.0,30.0,61.4,1.7
2018.0,9192.0,135.0,78.5,1.6
2018.0,7557.0,150.0,52.3,1.0
2017.0,9595.0,160.0,43.5,1.6
2016.0,46000.0,20.0,60.1,1.0
2017.0,12102.0,145.0,50.4,1.4
2017.0,14799.0,150.0,67.3,1.7
2014.0,24394.0,30.0,57.6,1.2
2019.0,750.0,145.0,44.1,1.0
2020.0,23.0,145.0,56.5,1.0
2016.0,34670.0,235.0,42.8,2.2
2017.0,22500.0,30.0,57.6,1.2
2018.0,23400.0,145.0,52.3,1.0
2018.0,13365.0,145.0,60.1,1.0
2018.0,6726.0,145.0,68.9,1.6
2017.0,28964.0,30.0,61.7,1.7
2018.0,19495.0,145.0,61.7,1.7
2019.0,2000.0,145.0,34.9,1.6
2019.0,16490.0,145.0,44.1,1.0
2018.0,31676.0,150.0,45.6,1.4
2017.0,23679.0,150.0,47.1,2.0
2014.0,53910.0,20.0,61.4,1.2
2018.0,8557.0,145.0,44.8,1.6
2019.0,25.0,145.0,36.2,1.6
2019.0,6245.0,145.0,47.9,1.0
2014.0,44205.0,260.0,41.5,2.0
2014.0,17641.0,30.0,57.6,1.2
2017.0,14000.0,30.0,61.7,1.7
2019.0,5607.0,145.0,57.6,1.2
2018.0,11518.0,150.0,60.1,1.0
2017.0,20391.0,20.0,60.1,1.0
2018.0,10431.0,145.0,57.6,1.2
2017.0,17177.0,30.0,61.7,1.7
2019.0,10.0,145.0,35.3,1.6
2019.0,500.0,145.0,34.0,2.0
2020.0,2000.0,145.0,60.1,1.0
2017.0,16900.0,145.0,55.4,1.2
2017.0,26800.0,145.0,47.1,2.2
2014.0,21187.0,200.0,41.5,1.6
2017.0,19099.0,145.0,39.8,1.6
2017.0,14376.0,125.0,57.6,1.7
2016.0,11472.0,125.0,57.6,1.7
2017.0,15935.0,125.0,57.6,1.7
2017.0,18543.0,140.0,42.8,2.2
2019.0,5004.0,145.0,34.9,1.6
2016.0,15828.0,20.0,60.1,1.0
2016.0,42000.0,30.0,61.7,1.7
2016.0,44794.0,30.0,61.7,1.7
2019.0,1500.0,145.0,34.0,2.0
2018.0,15927.0,145.0,60.1,1.0
2016.0,23261.0,0.0,78.4,1.6
2017.0,31696.0,20.0,60.1,1.0
2017.0,13600.0,30.0,55.4,1.2
2018.0,38330.0,150.0,37.7,2.5
2019.0,100.0,145.0,31.7,2.5
2019.0,8104.0,145.0,60.1,1.0
2019.0,23773.0,145.0,34.9,1.6
2019.0,20.0,150.0,34.9,2.0
2019.0,7980.0,135.0,78.5,1.6
2016.0,53292.0,330.0,33.6,2.5
2018.0,8056.0,145.0,47.9,1.2
2019.0,16331.0,145.0,44.1,1.0
2019.0,4000.0,145.0,49.6,1.0
2019.0,1485.0,145.0,47.9,1.0
2016.0,12800.0,30.0,61.7,1.7
2018.0,27742.0,135.0,78.5,1.6
2017.0,19937.0,150.0,61.7,1.7
2019.0,50.0,145.0,44.1,1.0
2019.0,2812.0,145.0,50.4,1.6
2018.0,11491.0,150.0,60.1,1.0
2016.0,30700.0,205.0,41.5,1.6
2019.0,12254.0,150.0,34.9,1.6
2016.0,34284.0,200.0,47.1,2.2
2017.0,34328.0,145.0,67.3,1.7
2017.0,21594.0,165.0,44.8,1.6
2017.0,27717.0,150.0,61.7,1.7
2016.0,15110.0,30.0,61.7,1.7
2018.0,17397.0,150.0,60.1,0.0
2017.0,37864.0,145.0,60.1,1.0
2019.0,16108.0,145.0,57.6,1.2
2019.0,5308.0,135.0,78.5,1.6
2020.0,2083.0,135.0,52.3,1.6
2017.0,19229.0,145.0,62.8,1.0
2017.0,25884.0,145.0,60.1,1.0
2018.0,28283.0,135.0,78.5,1.6
2017.0,19098.0,30.0,61.7,1.7
2016.0,12938.0,20.0,61.4,1.0
2019.0,100.0,145.0,35.3,1.6
2019.0,9733.0,150.0,35.8,1.6
2016.0,29700.0,20.0,61.4,1.0
2019.0,15644.0,150.0,36.2,1.6
2016.0,21444.0,150.0,48.7,1.4
2017.0,22714.0,145.0,61.7,1.7
2014.0,29064.0,165.0,51.4,1.6
2017.0,39608.0,200.0,47.1,2.2
2015.0,16412.0,145.0,48.7,1.4
2017.0,34945.0,30.0,58.9,1.2
2018.0,18385.0,145.0,60.1,1.0
2014.0,38601.0,125.0,50.4,0.0
2017.0,5000.0,145.0,65.7,1.0
2016.0,29412.0,0.0,78.4,1.6
2019.0,5986.0,145.0,44.1,1.0
2015.0,30763.0,30.0,61.7,1.7
2019.0,2000.0,145.0,49.6,1.0
2017.0,34407.0,145.0,57.7,1.2
2019.0,10.0,145.0,36.2,1.6
2017.0,41429.0,145.0,42.8,2.2
2013.0,50998.0,145.0,48.7,1.7
2017.0,17849.0,30.0,61.7,1.7
2014.0,48879.0,30.0,57.6,1.2
2015.0,26499.0,30.0,61.7,1.7
2017.0,33501.0,150.0,60.1,1.0
2015.0,32745.0,20.0,67.3,1.6
2019.0,4720.0,135.0,78.5,1.6
2019.0,2810.0,135.0,78.5,1.6
2018.0,10224.0,145.0,57.7,1.2
2015.0,27056.0,20.0,60.1,1.0
2018.0,35000.0,145.0,60.1,1.0
2019.0,4587.0,145.0,49.6,1.0
2018.0,17560.0,145.0,47.9,1.2
2018.0,7723.0,145.0,57.6,1.7
2017.0,23986.0,125.0,57.6,1.7
2017.0,7941.0,165.0,43.5,1.6
2016.0,30565.0,125.0,50.4,1.4
2015.0,47500.0,0.0,78.4,1.6
2017.0,13810.0,20.0,60.1,1.0
2019.0,7061.0,145.0,46.3,1.2
2018.0,19931.0,150.0,60.1,1.0
2016.0,10236.0,200.0,47.1,2.2
2017.0,5060.0,125.0,57.6,1.7
2019.0,15344.0,150.0,46.3,1.2
2018.0,29268.0,150.0,61.7,1.7
2016.0,21017.0,20.0,62.8,1.0
2019.0,3000.0,150.0,57.6,1.2
2018.0,31995.0,145.0,60.1,1.0
2016.0,30266.0,0.0,78.4,1.6
2011.0,60000.0,145.0,48.7,1.7
2017.0,20529.0,145.0,57.6,1.7
2019.0,16673.0,145.0,60.1,1.6
2017.0,14675.0,160.0,44.1,1.4
2017.0,14923.0,145.0,62.8,1.0
2017.0,37798.0,145.0,57.7,1.2
2017.0,26697.0,145.0,61.4,1.7
2017.0,12245.0,150.0,50.4,1.4
2019.0,6416.0,145.0,44.8,1.0
2018.0,30709.0,150.0,51.4,1.4
2017.0,18062.0,145.0,57.6,1.7
2017.0,32107.0,145.0,57.7,1.2
2018.0,23001.0,145.0,52.3,1.0
2019.0,8607.0,145.0,60.1,1.0
2019.0,10.0,145.0,44.1,1.0
2018.0,15424.0,145.0,52.3,1.4
2017.0,39621.0,145.0,51.4,1.4
2016.0,20600.0,260.0,37.2,1.6
2019.0,6243.0,145.0,46.3,1.2
2014.0,38427.0,30.0,57.6,1.2
2017.0,21321.0,145.0,57.7,1.2
2019.0,5792.0,145.0,50.4,1.6
2017.0,14570.0,30.0,57.7,1.2
2019.0,11938.0,145.0,57.6,1.2
2015.0,29731.0,125.0,50.4,1.4
2019.0,16605.0,150.0,47.9,1.2
2019.0,110.0,145.0,34.9,1.6
2015.0,8776.0,20.0,61.4,1.0
2015.0,49464.0,30.0,61.7,1.7
2015.0,16212.0,125.0,58.9,2.0
2019.0,10120.0,145.0,36.2,1.6
2016.0,18562.0,125.0,50.4,1.4
2018.0,7374.0,145.0,57.7,1.2
2015.0,45278.0,20.0,60.1,1.0
2016.0,51849.0,235.0,42.2,2.2
2019.0,12273.0,145.0,44.1,1.0
2017.0,13007.0,145.0,44.8,1.6
2019.0,15.0,150.0,34.0,2.0
2018.0,26096.0,145.0,52.3,1.0
2019.0,2198.0,145.0,60.1,1.0
2019.0,5167.0,135.0,78.5,1.6
2019.0,12521.0,145.0,34.9,1.6
2017.0,6264.0,165.0,45.6,1.4
2019.0,15391.0,145.0,44.1,1.0
2017.0,19012.0,145.0,57.6,1.7
2018.0,38469.0,135.0,78.5,1.6
2016.0,24109.0,145.0,48.7,1.4
2017.0,47856.0,150.0,60.1,1.0
2017.0,38002.0,20.0,72.4,1.6
2017.0,9140.0,160.0,44.8,1.6
2016.0,16812.0,30.0,58.9,1.0
2017.0,19581.0,145.0,60.1,1.0
2015.0,22020.0,30.0,57.6,1.2
2018.0,3200.0,145.0,60.1,1.0
2016.0,55979.0,125.0,50.4,1.4
2018.0,30685.0,145.0,60.1,1.0
2017.0,14920.0,30.0,61.7,1.7
2010.0,62000.0,120.0,50.4,1.4
2018.0,12603.0,145.0,60.1,1.0
2016.0,37000.0,20.0,61.4,1.0
2016.0,41953.0,30.0,61.7,1.7
2018.0,7057.0,145.0,57.7,1.2
2020.0,2000.0,135.0,62.8,1.6
2017.0,30282.0,145.0,60.1,1.0
2020.0,50.0,145.0,34.9,1.6
2017.0,39968.0,145.0,57.7,1.2
2016.0,30822.0,235.0,42.8,2.2
2017.0,23692.0,20.0,60.1,1.0
2017.0,12520.0,145.0,61.7,1.7
2019.0,879.0,145.0,44.1,1.0
2018.0,34605.0,145.0,28.0,2.5
2013.0,45230.0,20.0,61.4,0.0
2019.0,498.0,145.0,34.0,2.0
2017.0,25661.0,30.0,61.7,1.7
2018.0,4188.0,145.0,48.7,1.6
2019.0,6082.0,145.0,47.9,1.2
2015.0,12042.0,20.0,61.4,1.0
2017.0,54698.0,140.0,78.5,1.6
2018.0,7034.0,150.0,52.3,1.0
2020.0,2637.0,145.0,46.3,1.2
2019.0,2250.0,145.0,47.9,1.6
2017.0,5082.0,145.0,60.1,1.0
2017.0,35043.0,125.0,57.6,1.7
2018.0,8327.0,145.0,60.1,1.0
2018.0,32331.0,145.0,57.7,1.2
2019.0,19231.0,150.0,34.9,1.6
2015.0,59508.0,30.0,65.7,1.7
2016.0,13695.0,0.0,78.5,1.6
2020.0,1298.0,145.0,50.4,1.6
2015.0,27328.0,125.0,50.4,1.4
2019.0,17642.0,145.0,35.3,1.6
2017.0,18250.0,160.0,43.5,1.6
2017.0,35160.0,30.0,61.7,1.7
2018.0,36359.0,145.0,28.0,2.5
2017.0,15999.0,145.0,61.7,1.7
2017.0,59626.0,150.0,67.3,1.7
2018.0,29920.0,145.0,52.3,1.0
2015.0,49489.0,200.0,41.5,1.6
2017.0,24144.0,125.0,57.6,1.7
2017.0,16617.0,145.0,57.7,1.2
2018.0,7138.0,145.0,52.3,1.0
2017.0,12185.0,145.0,61.7,1.7
2019.0,10.0,145.0,52.3,1.6
2018.0,34153.0,145.0,54.3,1.0
2018.0,9001.0,145.0,52.3,1.0
2017.0,40124.0,235.0,42.8,2.2
2017.0,31050.0,150.0,60.1,1.0
2016.0,30771.0,30.0,61.7,1.7
2016.0,11511.0,200.0,41.5,1.6
2017.0,31490.0,0.0,78.5,1.6
2018.0,8328.0,145.0,57.7,1.7
2018.0,9443.0,145.0,34.9,1.6
2013.0,12508.0,145.0,47.1,1.4
2018.0,6063.0,145.0,56.5,1.0
2019.0,1426.0,145.0,34.0,2.0
2018.0,3022.0,145.0,44.8,1.6
2017.0,23786.0,145.0,48.7,1.4
2018.0,11893.0,145.0,44.1,1.0
2019.0,2642.0,145.0,44.1,1.0
2019.0,10338.0,145.0,44.8,1.0
2017.0,33461.0,30.0,61.7,1.7
2019.0,10200.0,135.0,78.5,1.6
2016.0,34690.0,30.0,58.9,1.2
2017.0,30085.0,150.0,61.4,1.7
2017.0,19052.0,145.0,61.7,1.7
2017.0,43638.0,150.0,57.7,1.2
2019.0,7346.0,135.0,78.5,1.6
2016.0,29750.0,20.0,58.9,1.0
2017.0,20634.0,125.0,50.4,1.4
2017.0,12836.0,145.0,50.4,1.4
2016.0,27497.0,30.0,55.4,1.2
2017.0,17059.0,30.0,61.7,1.7
2018.0,38090.0,145.0,37.7,2.5
2017.0,29000.0,150.0,61.4,1.7
2019.0,4.0,145.0,47.1,1.6
2019.0,2000.0,145.0,49.6,1.0
2018.0,3353.0,145.0,44.1,1.0
2017.0,29800.0,200.0,47.9,2.0
2018.0,15327.0,145.0,43.5,2.0
2016.0,58791.0,30.0,61.7,1.7
2019.0,5500.0,145.0,45.6,1.6
2016.0,36182.0,20.0,60.1,1.0
2017.0,27000.0,145.0,57.7,1.2
2017.0,25117.0,30.0,61.7,1.7
2018.0,29225.0,150.0,34.0,2.0
2018.0,9934.0,145.0,57.7,1.2
2016.0,24400.0,160.0,44.8,1.6
2019.0,4779.0,150.0,36.2,1.6
2019.0,4565.0,150.0,46.3,1.2
2018.0,22780.0,150.0,52.3,1.4
2020.0,1000.0,145.0,34.9,1.6
2016.0,21152.0,30.0,64.2,1.6
2017.0,38452.0,150.0,42.8,2.2
2019.0,3655.0,150.0,60.1,1.0
2019.0,1750.0,145.0,44.1,1.0
2017.0,13817.0,145.0,50.4,1.4
2019.0,11088.0,150.0,44.1,1.0
2017.0,16733.0,30.0,57.7,1.2
2017.0,22371.0,160.0,44.8,1.6
2019.0,1594.0,145.0,46.3,1.2
2017.0,30946.0,150.0,57.7,1.2
2019.0,1650.0,145.0,54.3,1.6
2017.0,47150.0,30.0,61.4,1.7
2019.0,10391.0,135.0,78.5,1.6
2019.0,14231.0,145.0,34.9,1.6
2017.0,28507.0,150.0,47.1,2.2
2017.0,10392.0,145.0,57.7,1.2
2016.0,15560.0,125.0,50.4,1.4
2017.0,38351.0,125.0,57.6,1.7
2018.0,5104.0,145.0,44.1,1.0
2015.0,37254.0,30.0,57.6,1.2
2018.0,35050.0,145.0,33.6,2.5
2015.0,15318.0,145.0,47.1,1.4
2018.0,19.0,145.0,44.1,1.0
2017.0,17955.0,145.0,38.7,1.6
2019.0,1000.0,145.0,53.3,1.6
2015.0,48072.0,30.0,55.4,1.2
2019.0,9935.0,145.0,34.9,1.6
2010.0,42125.0,30.0,56.5,1.2
2017.0,44013.0,235.0,43.5,2.0
2017.0,15359.0,145.0,72.4,1.6
2019.0,11849.0,140.0,78.5,1.6
2019.0,3000.0,145.0,49.6,1.0
2016.0,50132.0,145.0,54.3,2.0
2017.0,19366.0,150.0,55.4,1.2
2019.0,11311.0,135.0,78.5,1.6
2019.0,443.0,145.0,49.6,1.0
2019.0,4672.0,140.0,52.3,1.6
2018.0,28890.0,145.0,60.1,1.0
2014.0,39260.0,160.0,44.1,1.6
2018.0,8961.0,145.0,52.3,1.0
2014.0,45616.0,165.0,46.0,1.4
2016.0,2000.0,160.0,44.1,1.4
2018.0,12170.0,145.0,57.6,1.7
2015.0,29658.0,30.0,55.4,1.2
2019.0,15575.0,145.0,44.1,1.0
2018.0,17712.0,135.0,78.5,1.6
2017.0,44749.0,145.0,33.6,2.5
2018.0,16344.0,145.0,57.7,1.2
2016.0,56693.0,0.0,78.4,1.6
2017.0,19000.0,150.0,58.9,1.2
2015.0,46142.0,0.0,78.4,1.6
