year,mileage,tax(£),mpg,engineSize,price
2016.0,36736.0,125.0,58.9,2.0,13450.0
2011.0,59220.0,160.0,49.6,1.6,4395.0
2019.0,8259.0,145.0,34.0,2.0,21999.0
2019.0,100.0,145.0,37.7,1.6,22970.0
2018.0,38984.0,150.0,37.7,2.5,14900.0
2018.0,32469.0,145.0,33.6,2.5,15299.0
2019.0,1001.0,145.0,44.1,1.0,13699.0
2017.0,15772.0,30.0,57.6,1.2,7590.0
2017.0,24163.0,125.0,57.6,1.7,16729.0
2018.0,8337.0,145.0,74.3,1.6,11998.0
2014.0,37875.0,20.0,60.1,1.0,4887.0
2018.0,15493.0,145.0,52.3,1.0,13995.0
2019.0,11.0,145.0,37.7,1.6,22000.0
2016.0,21159.0,30.0,61.7,1.7,12990.0
2015.0,54783.0,150.0,53.3,1.7,7995.0
2018.0,2259.0,145.0,37.2,1.6,15495.0
2019.0,14002.0,150.0,60.1,1.0,8000.0
2015.0,42861.0,200.0,47.9,2.0,15495.0
2018.0,11446.0,145.0,42.2,1.6,18290.0
2019.0,1430.0,150.0,34.9,1.6,16995.0
2019.0,5500.0,135.0,78.5,1.6,23991.0
2013.0,48000.0,20.0,61.4,1.2,3491.0
2016.0,22764.0,240.0,43.5,2.0,16980.0
2019.0,3084.0,150.0,47.9,1.0,11680.0
2019.0,16464.0,150.0,31.7,2.5,18440.0
2015.0,34712.0,160.0,42.2,1.4,7995.0
2016.0,17110.0,325.0,33.6,2.5,14998.0
2017.0,35640.0,150.0,57.7,1.2,7600.0
2018.0,6493.0,135.0,78.5,1.6,17150.0
2014.0,8646.0,160.0,45.6,0.0,7700.0
2018.0,10167.0,145.0,42.2,1.6,18990.0
2019.0,50.0,145.0,36.2,1.6,23995.0
2017.0,25053.0,145.0,38.7,1.6,15390.0
2017.0,5600.0,20.0,60.1,1.0,7695.0
2019.0,10.0,145.0,46.3,1.2,12495.0
2017.0,27473.0,30.0,61.7,1.7,12397.0
2015.0,29823.0,260.0,41.5,2.2,15975.0
2019.0,1771.0,145.0,45.6,1.0,17990.0
2020.0,371.0,150.0,56.5,1.0,12500.0
2019.0,15000.0,145.0,41.5,1.4,13595.0
2015.0,27000.0,125.0,50.4,1.4,6995.0
2017.0,40282.0,150.0,74.3,1.6,9995.0
2019.0,10000.0,145.0,57.6,1.2,9995.0
2018.0,15207.0,145.0,60.1,1.0,7895.0
2017.0,15899.0,145.0,54.3,2.0,18330.0
2017.0,31456.0,150.0,72.4,1.6,9299.0
2014.0,6790.0,160.0,45.6,1.2,7999.0
